Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
"positive regulation of synaptic transmission, glutamatergic",GO:0051968,COVID-19,MESH:D000086382,,CCL2|CCR2,2
transmembrane signaling receptor activity,GO:0004888,COVID-19,MESH:D000086382,,BSG|SELE,2
localization,GO:0051179,COVID-19,MESH:D000086382,,HCK|MUC1,2
positive regulation of membrane protein ectodomain proteolysis,GO:0051044,COVID-19,MESH:D000086382,,IL1B|TNF,2
negative regulation of B cell proliferation,GO:0030889,COVID-19,MESH:D000086382,,BTK|IL10,3
defense response to protozoan,GO:0042832,COVID-19,MESH:D000086382,,IL10|IL6,5
positive regulation of actin filament polymerization,GO:0030838,COVID-19,MESH:D000086382,,CSF3|HCK,2
apical plasma membrane,GO:0016324,COVID-19,MESH:D000086382,,ACE2|MUC1,16
serine-type endopeptidase activity,GO:0004252,COVID-19,MESH:D000086382,,TMPRSS2|TMPRSS4,3
dendrite,GO:0030425,COVID-19,MESH:D000086382,,CCL2|CCR2,2
phospholipase activator activity,GO:0016004,COVID-19,MESH:D000086382,,BTK|CCL3,2
cytokine binding,GO:0019955,COVID-19,MESH:D000086382,,CCR2|IFNAR2,1
protein kinase binding,GO:0019901,COVID-19,MESH:D000086382,,BCL11A|IFNAR2,2
T cell differentiation,GO:0030217,COVID-19,MESH:D000086382,,BCL11A|IL2,2
enzyme binding,GO:0019899,COVID-19,MESH:D000086382,,CSF3|PLSCR1,2
extracellular matrix organization,GO:0030198,COVID-19,MESH:D000086382,,AGT|TNF,2
B cell differentiation,GO:0030183,COVID-19,MESH:D000086382,,BCL11A|IL10,3
platelet activation,GO:0030168,COVID-19,MESH:D000086382,,IL6|PLSCR1,5
negative regulation of T cell proliferation,GO:0042130,COVID-19,MESH:D000086382,,IL10|IL2RA,3
regulation of cell adhesion,GO:0030155,COVID-19,MESH:D000086382,,CXCL8|FUT2,2
positive regulation of activated T cell proliferation,GO:0042104,COVID-19,MESH:D000086382,,IL2|IL2RA,3
B cell proliferation,GO:0042100,COVID-19,MESH:D000086382,,IL10|IL7,2
cellular homeostasis,GO:0019725,COVID-19,MESH:D000086382,,CCL2|CCR2,2
hemopoiesis,GO:0030097,COVID-19,MESH:D000086382,,CCR2|IL10,3
chemoattractant activity,GO:0042056,COVID-19,MESH:D000086382,,CCL3|CXCL10,1
interleukin-22 receptor activity,GO:0042018,COVID-19,MESH:D000086382,,IFNAR2|IL10RB,2
positive regulation of mitotic nuclear division,GO:0045840,COVID-19,MESH:D000086382,,IL1B|TNF,2
hemostasis,GO:0007599,COVID-19,MESH:D000086382,,F8|IL10RB,1
female pregnancy,GO:0007565,COVID-19,MESH:D000086382,,AGT|MUC1,2
positive regulation of cell adhesion,GO:0045785,COVID-19,MESH:D000086382,,CCL2|TNF,1
mesoderm development,GO:0007498,COVID-19,MESH:D000086382,,BTK|HCK,2
positive regulation of synoviocyte proliferation,GO:1901647,COVID-19,MESH:D000086382,,BTK|TNF,2
negative regulation of myoblast differentiation,GO:0045662,COVID-19,MESH:D000086382,,CXCL10|TNF,1
negative regulation of fat cell differentiation,GO:0045599,COVID-19,MESH:D000086382,,IL6|TNF,5
positive regulation of B cell differentiation,GO:0045579,COVID-19,MESH:D000086382,,BTK|IL7,2
regulation of vasoconstriction,GO:0019229,COVID-19,MESH:D000086382,,ACE2|AGT,16
leukocyte cell-cell adhesion,GO:0007159,COVID-19,MESH:D000086382,,CD209|SELE,1
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007157,COVID-19,MESH:D000086382,,CD209|SELE,1
positive regulation of monocyte chemotactic protein-1 production,GO:0071639,COVID-19,MESH:D000086382,,IL1B|OAS1,2
cytoskeleton organization,GO:0007010,COVID-19,MESH:D000086382,,CCL2|CCL3,1
cellular response to dexamethasone stimulus,GO:0071549,COVID-19,MESH:D000086382,,CCL2|IL6,5
response to vitamin D,GO:0033280,COVID-19,MESH:D000086382,,CXCL10|IL1B,2
CXCR chemokine receptor binding,GO:0045236,COVID-19,MESH:D000086382,,CXCL10|CXCL8,2
cellular response to fatty acid,GO:0071398,COVID-19,MESH:D000086382,,CCL2|IL1B,2
positive regulation of leukocyte adhesion to vascular endothelial cell,GO:1904996,COVID-19,MESH:D000086382,,IL6|TNF,5
cellular response to interleukin-6,GO:0071354,COVID-19,MESH:D000086382,,CCL2|CRP,2
cellular response to glucose stimulus,GO:0071333,COVID-19,MESH:D000086382,,CCL2|IL1B,2
RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000978,COVID-19,MESH:D000086382,,BCL11A|MUC1,1
cellular response to mechanical stimulus,GO:0071260,COVID-19,MESH:D000086382,,AGT|IL1B,2
cellular response to antibiotic,GO:0071236,COVID-19,MESH:D000086382,,IL10|IL1B,3
cellular response to molecule of bacterial origin,GO:0071219,COVID-19,MESH:D000086382,,IL1B|TNF,2
homeostasis of number of cells within a tissue,GO:0048873,COVID-19,MESH:D000086382,,CCR2|IL7,2
positive regulation of NMDA glutamate receptor activity,GO:1904783,COVID-19,MESH:D000086382,,CCL2|CCR2,2
negative regulation of vascular associated smooth muscle cell proliferation,GO:1904706,COVID-19,MESH:D000086382,,AGT|IL10,3
negative regulation of lipid catabolic process,GO:0050995,COVID-19,MESH:D000086382,,IL1B|TNF,2
negative regulation of smooth muscle cell proliferation,GO:0048662,COVID-19,MESH:D000086382,,ACE2|AGT,16
positive regulation of smooth muscle cell proliferation,GO:0048661,COVID-19,MESH:D000086382,,IL6|TNF,5
positive chemotaxis,GO:0050918,COVID-19,MESH:D000086382,,CCL3|CXCL10,1
embryonic digestive tract development,GO:0048566,COVID-19,MESH:D000086382,,CXCL8|TNF,2
positive regulation of T cell activation,GO:0050870,COVID-19,MESH:D000086382,,CCL2|CCR2,2
regulation of synapse organization,GO:0050807,COVID-19,MESH:D000086382,,IL10|TNF,2
positive regulation of synaptic transmission,GO:0050806,COVID-19,MESH:D000086382,,CCL2|TNF,1
activated T cell proliferation,GO:0050798,COVID-19,MESH:D000086382,,IL2|IL2RA,3
oogenesis,GO:0048477,COVID-19,MESH:D000086382,,ABO|BTK,2
positive regulation of peptidyl-tyrosine phosphorylation,GO:0050731,COVID-19,MESH:D000086382,,CSF3|IL6,5
cell-cell adhesion,GO:0098609,COVID-19,MESH:D000086382,,BSG|ICAM5,2
negative regulation of lymphocyte proliferation,GO:0050672,COVID-19,MESH:D000086382,,IL2|IL2RA,3
lymphocyte chemotaxis,GO:0048247,COVID-19,MESH:D000086382,,CCL2|CCL3,1
magnesium ion binding,GO:0000287,COVID-19,MESH:D000086382,,ATP11A|PLSCR1,1
CCR chemokine receptor binding,GO:0048020,COVID-19,MESH:D000086382,,CCL2|CCL3,1
phospholipid transport,GO:0015914,COVID-19,MESH:D000086382,,ATP11A|PLSCR1,1
"regulation of CD4-positive, alpha-beta T cell proliferation",GO:2000561,COVID-19,MESH:D000086382,,IL2|IL2RA,3
transcription coregulator activity,GO:0003712,COVID-19,MESH:D000086382,,BCL11A|MUC1,1
positive regulation of reactive oxygen species metabolic process,GO:2000379,COVID-19,MESH:D000086382,,ACE2|AGT,16
positive regulation of endothelial cell apoptotic process,GO:2000353,COVID-19,MESH:D000086382,,CCL2|TNF,1
negative regulation of signaling receptor activity,GO:2000272,COVID-19,MESH:D000086382,,ACE2|TNF,16
negative regulation of branching morphogenesis of a nerve,GO:2000173,COVID-19,MESH:D000086382,,BCL11A|IL1B,2
regulation of systemic arterial blood pressure by renin-angiotensin,GO:0003081,COVID-19,MESH:D000086382,,ACE2|AGT,16
angiotensin-mediated drinking behavior,GO:0003051,COVID-19,MESH:D000086382,,ACE2|AGT,16
defense response,GO:0006952,COVID-19,MESH:D000086382,,CXCL10|TNF,1
exocytosis,GO:0006887,COVID-19,MESH:D000086382,,CCL3|HCK,2
lipid transport,GO:0006869,COVID-19,MESH:D000086382,,ATP11A|PLSCR1,1
positive regulation of superoxide anion generation,GO:0032930,COVID-19,MESH:D000086382,,AGT|CRP,2
response to insulin,GO:0032868,COVID-19,MESH:D000086382,,IL10|IL6,5
positive regulation of p38MAPK cascade,GO:1900745,COVID-19,MESH:D000086382,,CCR2|IL1B,2
protein glycosylation,GO:0006486,COVID-19,MESH:D000086382,,ABO|FUT2,2
regulation of transcription by RNA polymerase II,GO:0006357,COVID-19,MESH:D000086382,,BCL11A|IFNAR2,2
Golgi cisterna membrane,GO:0032580,COVID-19,MESH:D000086382,,ABO|FUT2,2
cellular response to fibroblast growth factor stimulus,GO:0044344,COVID-19,MESH:D000086382,,CCL2|CXCL8,2
response to interleukin-1,GO:0070555,COVID-19,MESH:D000086382,,IL1B|SELE,2
cytoplasmic side of plasma membrane,GO:0009898,COVID-19,MESH:D000086382,,HCK|TYK2,2
positive regulation of plasma cell differentiation,GO:1900100,COVID-19,MESH:D000086382,,IL10|IL2,2
positive regulation of dendrite development,GO:1900006,COVID-19,MESH:D000086382,,CRP|TMEM106B,2
response to salt stress,GO:0009651,COVID-19,MESH:D000086382,,AGT|TNF,2
regulation of cardiac conduction,GO:1903779,COVID-19,MESH:D000086382,,ACE2|AGT,16
cellular response to hepatocyte growth factor stimulus,GO:0035729,COVID-19,MESH:D000086382,,IL10|IL6,5
neuron cellular homeostasis,GO:0070050,COVID-19,MESH:D000086382,,IL6|TMEM106B,5
oligosaccharide biosynthetic process,GO:0009312,COVID-19,MESH:D000086382,,ABO|FUT2,2
positive regulation of gap junction assembly,GO:1903598,COVID-19,MESH:D000086382,,ACE2|AGT,16
antimicrobial humoral immune response mediated by antimicrobial peptide,GO:0061844,COVID-19,MESH:D000086382,,CXCL10|CXCL8,2
blood vessel diameter maintenance,GO:0097746,COVID-19,MESH:D000086382,,ACE2|AGT,16
cellular response to interferon-beta,GO:0035458,COVID-19,MESH:D000086382,,IFNAR2|OAS1,2
response to interferon-alpha,GO:0035455,COVID-19,MESH:D000086382,,IFNAR2|PLSCR1,2
positive regulation of leukocyte tethering or rolling,GO:1903238,COVID-19,MESH:D000086382,,CCR2|SELE,2
regulation of establishment of endothelial barrier,GO:1903140,COVID-19,MESH:D000086382,,IL1B|TNF,2
extrinsic apoptotic signaling pathway in absence of ligand,GO:0097192,COVID-19,MESH:D000086382,,IL1B|IL2,2
extrinsic apoptotic signaling pathway,GO:0097191,COVID-19,MESH:D000086382,,IL7|TNF,1
apoptotic signaling pathway,GO:0097190,COVID-19,MESH:D000086382,,BTK|TNF,2
negative regulation of cytokine production involved in immune response,GO:0002719,COVID-19,MESH:D000086382,,IL10|TNF,2
positive regulation of leukocyte chemotaxis,GO:0002690,COVID-19,MESH:D000086382,,CXCL10|IL6,5
positive regulation of leukocyte migration,GO:0002687,COVID-19,MESH:D000086382,,CCL2|SELE,2
type III interferon-mediated signaling pathway,GO:0038196,COVID-19,MESH:D000086382,,IL10RB|TYK2,2
interleukin-2-mediated signaling pathway,GO:0038110,COVID-19,MESH:D000086382,,IL2|IL2RA,3
signaling receptor activity,GO:0038023,COVID-19,MESH:D000086382,,BSG|IL10RB,2
cilium,GO:0005929,COVID-19,MESH:D000086382,,ACE2|LZTFL1,17
cell-cell junction,GO:0005911,COVID-19,MESH:D000086382,,BSG|F8,2
caveola,GO:0005901,COVID-19,MESH:D000086382,,HCK|SELE,2
cytoskeleton,GO:0005856,COVID-19,MESH:D000086382,,HCK|TYK2,2
Golgi lumen,GO:0005796,COVID-19,MESH:D000086382,,F8|MUC1,1
endoplasmic reticulum membrane,GO:0005789,COVID-19,MESH:D000086382,,ATP11A|BSG,2
vesicle,GO:0031982,COVID-19,MESH:D000086382,,ABO|IL1B,2
positive regulation of calcium ion import,GO:0090280,COVID-19,MESH:D000086382,,CCL2|CCL3,1
positive regulation of immune complex clearance by monocytes and macrophages,GO:0090265,COVID-19,MESH:D000086382,,CCL2|CCR2,2
mannose binding,GO:0005537,COVID-19,MESH:D000086382,,BSG|CD209,2
CCR2 chemokine receptor binding,GO:0031727,COVID-19,MESH:D000086382,,CCL2|CCR2,2
type 1 angiotensin receptor binding,GO:0031702,COVID-19,MESH:D000086382,,AGT|TYK2,2
receptor-mediated endocytosis of virus by host cell,GO:0019065,COVID-19,MESH:D000086382,,ACE2,15
phospholipid translocation,GO:0045332,COVID-19,MESH:D000086382,,ATP11A,1
mercury ion binding,GO:0045340,COVID-19,MESH:D000086382,,PLSCR1,1
apoptotic cell clearance,GO:0043277,COVID-19,MESH:D000086382,,CCR2,1
negative regulation of MHC class II biosynthetic process,GO:0045347,COVID-19,MESH:D000086382,,IL10,2
regulation of behavior,GO:0050795,COVID-19,MESH:D000086382,,CCL3,1
regulation of developmental process,GO:0050793,COVID-19,MESH:D000086382,,TNF,1
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043280,COVID-19,MESH:D000086382,,TNF,1
positive regulation of MHC class II biosynthetic process,GO:0045348,COVID-19,MESH:D000086382,,IL10,2
granulocyte chemotaxis,GO:0071621,COVID-19,MESH:D000086382,,CCL3,1
cell maturation,GO:0048469,COVID-19,MESH:D000086382,,BTK,1
negative regulation of chemokine (C-C motif) ligand 5 production,GO:0071650,COVID-19,MESH:D000086382,,IL10,2
regulation of dendrite development,GO:0050773,COVID-19,MESH:D000086382,,BCL11A,1
negative regulation of IP-10 production,GO:0071659,COVID-19,MESH:D000086382,,OAS1,1
regulation of neurogenesis,GO:0050767,COVID-19,MESH:D000086382,,IL1B,1
regulation of mononuclear cell migration,GO:0071675,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of mononuclear cell migration,GO:0071677,COVID-19,MESH:D000086382,,TNF,1
regulation of phagocytosis,GO:0050764,COVID-19,MESH:D000086382,,HCK,1
low-density lipoprotein particle receptor binding,GO:0050750,COVID-19,MESH:D000086382,,CRP,1
copper ion binding,GO:0005507,COVID-19,MESH:D000086382,,F8,1
regulation of peptidyl-tyrosine phosphorylation,GO:0050730,COVID-19,MESH:D000086382,,IL7,1
endocytic vesicle lumen,GO:0071682,COVID-19,MESH:D000086382,,CSF3,1
response to tacrolimus,GO:1901327,COVID-19,MESH:D000086382,,IL2,1
positive regulation of transforming growth factor beta1 activation,GO:1901394,COVID-19,MESH:D000086382,,AGT,1
regulation of protein secretion,GO:0050708,COVID-19,MESH:D000086382,,TNF,1
homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,COVID-19,MESH:D000086382,,BSG,1
cellular response to angiotensin,GO:1904385,COVID-19,MESH:D000086382,,AGT,1
entry receptor-mediated virion attachment to host cell,GO:0098670,COVID-19,MESH:D000086382,,ACE2,15
cell-matrix adhesion,GO:0007160,COVID-19,MESH:D000086382,,AGT,1
transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,COVID-19,MESH:D000086382,,HCK,1
transforming growth factor beta receptor signaling pathway,GO:0007179,COVID-19,MESH:D000086382,,CCL2,1
cell-cell adhesion mediator activity,GO:0098632,COVID-19,MESH:D000086382,,BSG,1
"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",GO:0007187,COVID-19,MESH:D000086382,,CCL2,1
negative regulation of bile acid secretion,GO:0120190,COVID-19,MESH:D000086382,,TNF,1
myosin binding,GO:0017022,COVID-19,MESH:D000086382,,CRP,1
positive regulation of cold-induced thermogenesis,GO:0120162,COVID-19,MESH:D000086382,,CCR2,1
regulation of defense response to virus by host,GO:0050691,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of epithelial cell proliferation,GO:0050679,COVID-19,MESH:D000086382,,IL6,4
axon terminus,GO:0043679,COVID-19,MESH:D000086382,,CCL2,1
adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,COVID-19,MESH:D000086382,,CXCL10,1
negative regulation of adenylate cyclase activity,GO:0007194,COVID-19,MESH:D000086382,,CCR2,1
G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger,GO:0007199,COVID-19,MESH:D000086382,,AGT,1
positive regulation of isotype switching to IgG isotypes,GO:0048304,COVID-19,MESH:D000086382,,IL2,1
bone resorption,GO:0045453,COVID-19,MESH:D000086382,,IL7,1
cellular response to nitric oxide,GO:0071732,COVID-19,MESH:D000086382,,CRP,1
CXCR3 chemokine receptor binding,GO:0048248,COVID-19,MESH:D000086382,,CXCL10,1
positive regulation of cellular biosynthetic process,GO:0031328,COVID-19,MESH:D000086382,,CXCL8,1
photoreceptor cell maintenance,GO:0045494,COVID-19,MESH:D000086382,,BSG,1
eosinophil chemotaxis,GO:0048245,COVID-19,MESH:D000086382,,CCL3,1
phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007200,COVID-19,MESH:D000086382,,AGT,1
activation of phospholipase C activity,GO:0007202,COVID-19,MESH:D000086382,,SELE,1
eosinophil degranulation,GO:0043308,COVID-19,MESH:D000086382,,CCL3,1
protein kinase C-activating G protein-coupled receptor signaling pathway,GO:0007205,COVID-19,MESH:D000086382,,IL2,1
Notch signaling pathway,GO:0007219,COVID-19,MESH:D000086382,,IL2RA,2
integrin-mediated signaling pathway,GO:0007229,COVID-19,MESH:D000086382,,HCK,1
kinase activator activity,GO:0019209,COVID-19,MESH:D000086382,,IL2,1
negative regulation of transformation of host cell by virus,GO:1904188,COVID-19,MESH:D000086382,,OAS1,1
cytoplasmic sequestering of NF-kappaB,GO:0007253,COVID-19,MESH:D000086382,,IL10,2
tyrosine phosphorylation of STAT protein,GO:0007260,COVID-19,MESH:D000086382,,IL2,1
positive regulation of microglial cell migration,GO:1904141,COVID-19,MESH:D000086382,,CCL3,1
nitric oxide mediated signal transduction,GO:0007263,COVID-19,MESH:D000086382,,AGT,1
multicellular organism development,GO:0007275,COVID-19,MESH:D000086382,,TNF,1
regulation of long-term neuronal synaptic plasticity,GO:0048169,COVID-19,MESH:D000086382,,AGT,1
positive regulation of fibroblast proliferation,GO:0048146,COVID-19,MESH:D000086382,,AGT,1
fibroblast proliferation,GO:0048144,COVID-19,MESH:D000086382,,AGT,1
response to vitamin B3,GO:0033552,COVID-19,MESH:D000086382,,CCL2,1
regulation of podosome assembly,GO:0071801,COVID-19,MESH:D000086382,,HCK,1
positive regulation of podosome assembly,GO:0071803,COVID-19,MESH:D000086382,,TNF,1
response to testosterone,GO:0033574,COVID-19,MESH:D000086382,,CRP,1
response to L-ascorbic acid,GO:0033591,COVID-19,MESH:D000086382,,IL1B,1
cellular response to platelet-derived growth factor stimulus,GO:0036120,COVID-19,MESH:D000086382,,CCL2,1
regulation of T cell differentiation,GO:0045580,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of regulatory T cell differentiation,GO:0045591,COVID-19,MESH:D000086382,,IL2,1
regulation of fat cell differentiation,GO:0045598,COVID-19,MESH:D000086382,,TNF,1
positive regulation of cell proliferation in bone marrow,GO:0071864,COVID-19,MESH:D000086382,,IL6,4
regulation of endothelial tube morphogenesis,GO:1901509,COVID-19,MESH:D000086382,,CXCL10,1
positive regulation of hematopoietic progenitor cell differentiation,GO:1901534,COVID-19,MESH:D000086382,,IL1B,1
ovarian nurse cell to oocyte transport,GO:0007300,COVID-19,MESH:D000086382,,BTK,1
female germline ring canal formation,GO:0007301,COVID-19,MESH:D000086382,,BTK,1
acrosome reaction,GO:0007340,COVID-19,MESH:D000086382,,TMPRSS2,3
cellularization,GO:0007349,COVID-19,MESH:D000086382,,BTK,1
fucosylation,GO:0036065,COVID-19,MESH:D000086382,,FUT2,1
positive regulation of protein-containing complex assembly,GO:0031334,COVID-19,MESH:D000086382,,TNF,1
negative regulation of cell adhesion mediated by integrin,GO:0033629,COVID-19,MESH:D000086382,,MUC1,1
vascular endothelial growth factor receptor signaling pathway,GO:0048010,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of T-helper 1 cell differentiation,GO:0045627,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of T-helper 2 cell differentiation,GO:0045630,COVID-19,MESH:D000086382,,IL6,4
positive regulation of myeloid cell differentiation,GO:0045639,COVID-19,MESH:D000086382,,CSF3,1
dorsal closure,GO:0007391,COVID-19,MESH:D000086382,,BTK,1
negative regulation of neuron differentiation,GO:0045665,COVID-19,MESH:D000086382,,IL1B,1
cellular response to macrophage colony-stimulating factor stimulus,GO:0036006,COVID-19,MESH:D000086382,,CCL2,1
response to macrophage colony-stimulating factor,GO:0036005,COVID-19,MESH:D000086382,,TNF,1
positive regulation of transcription from RNA polymerase II promoter in response to stress,GO:0036003,COVID-19,MESH:D000086382,,MUC1,1
positive regulation of neuron differentiation,GO:0045666,COVID-19,MESH:D000086382,,IL6,4
negative regulation of osteoblast differentiation,GO:0045668,COVID-19,MESH:D000086382,,TNF,1
sialic acid binding,GO:0033691,COVID-19,MESH:D000086382,,SELE,1
regulation of osteoclast differentiation,GO:0045670,COVID-19,MESH:D000086382,,TNF,1
negative regulation of eosinophil degranulation,GO:0043310,COVID-19,MESH:D000086382,,CCR2,1
negative regulation of osteoclast differentiation,GO:0045671,COVID-19,MESH:D000086382,,CCL3,1
cell periphery,GO:0071944,COVID-19,MESH:D000086382,,BTK,1
positive regulation of type B pancreatic cell apoptotic process,GO:2000676,COVID-19,MESH:D000086382,,IL6,4
negative regulation of interleukin-1-mediated signaling pathway,GO:2000660,COVID-19,MESH:D000086382,,IL6,4
methylated-DNA-[protein]-cysteine S-methyltransferase activity,GO:0003908,COVID-19,MESH:D000086382,,AGT,1
negative regulation of primary miRNA processing,GO:2000635,COVID-19,MESH:D000086382,,IL6,4
positive regulation of glial cell differentiation,GO:0045687,COVID-19,MESH:D000086382,,IL1B,1
tryptophan transport,GO:0015827,COVID-19,MESH:D000086382,,ACE2,15
catalytic activity,GO:0003824,COVID-19,MESH:D000086382,,AGT,1
antigen binding,GO:0003823,COVID-19,MESH:D000086382,,ABO,1
positive regulation of DNA biosynthetic process,GO:2000573,COVID-19,MESH:D000086382,,TNF,1
response to exogenous dsRNA,GO:0043330,COVID-19,MESH:D000086382,,IL1B,1
response to nitrogen compound,GO:1901698,COVID-19,MESH:D000086382,,IL1B,1
axon guidance,GO:0007411,COVID-19,MESH:D000086382,,BSG,1
open tracheal system development,GO:0007424,COVID-19,MESH:D000086382,,BTK,1
positive regulation of T-helper 2 cell cytokine production,GO:2000553,COVID-19,MESH:D000086382,,IL6,4
salivary gland morphogenesis,GO:0007435,COVID-19,MESH:D000086382,,BTK,1
regulation of entry of bacterium into host cell,GO:2000535,COVID-19,MESH:D000086382,,CXCL8,1
negative regulation of gluconeogenesis,GO:0045721,COVID-19,MESH:D000086382,,IL6,4
positive regulation of natural killer cell chemotaxis,GO:2000503,COVID-19,MESH:D000086382,,CCL3,1
negative regulation of natural killer cell chemotaxis,GO:2000502,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of fatty acid biosynthetic process,GO:0045723,COVID-19,MESH:D000086382,,AGT,1
respiratory burst after phagocytosis,GO:0045728,COVID-19,MESH:D000086382,,HCK,1
imaginal disc-derived male genitalia development,GO:0007485,COVID-19,MESH:D000086382,,BTK,1
positive regulation of protein catabolic process,GO:0045732,COVID-19,MESH:D000086382,,TNF,1
double-stranded RNA binding,GO:0003725,COVID-19,MESH:D000086382,,OAS1,1
positive regulation of hematopoietic stem cell migration,GO:2000473,COVID-19,MESH:D000086382,,CCR2,1
transcription corepressor activity,GO:0003714,COVID-19,MESH:D000086382,,BCL11A,1
lysosomal membrane,GO:0005765,COVID-19,MESH:D000086382,,TMEM106B,1
glial cell development,GO:0021782,COVID-19,MESH:D000086382,,F8,1
positive regulation of astrocyte chemotaxis,GO:2000464,COVID-19,MESH:D000086382,,CCR2,1
DNA-binding transcription factor activity,GO:0003700,COVID-19,MESH:D000086382,,BCL11A,1
"positive regulation of CD8-positive, alpha-beta T cell extravasation",GO:2000451,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of monocyte extravasation,GO:2000439,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of apoptotic cell clearance,GO:2000427,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of DNA replication,GO:0045740,COVID-19,MESH:D000086382,,IL6,4
positive regulation of thymocyte migration,GO:2000412,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of epidermal growth factor receptor signaling pathway,GO:0045742,COVID-19,MESH:D000086382,,AGT,1
negative regulation of G protein-coupled receptor signaling pathway,GO:0045744,COVID-19,MESH:D000086382,,CXCL8,1
positive regulation of T cell migration,GO:2000406,COVID-19,MESH:D000086382,,CXCL10,1
regulation of T cell migration,GO:2000404,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of action potential,GO:0045760,COVID-19,MESH:D000086382,,TNF,1
BBSome binding,GO:0062063,COVID-19,MESH:D000086382,,LZTFL1,2
regulation of angiogenesis,GO:0045765,COVID-19,MESH:D000086382,,IL6,4
positive regulation of blood pressure,GO:0045777,COVID-19,MESH:D000086382,,AGT,1
positive regulation of cell cycle,GO:0045787,COVID-19,MESH:D000086382,,IL10,2
collagen-containing extracellular matrix,GO:0062023,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of platelet aggregation,GO:1901731,COVID-19,MESH:D000086382,,IL6,4
negative regulation of myoblast fusion,GO:1901740,COVID-19,MESH:D000086382,,CXCL10,1
muscle organ development,GO:0007517,COVID-19,MESH:D000086382,,CXCL10,1
larval somatic muscle development,GO:0007526,COVID-19,MESH:D000086382,,CRP,1
response to nutrient,GO:0007584,COVID-19,MESH:D000086382,,IL1B,1
negative regulation of lipid metabolic process,GO:0045833,COVID-19,MESH:D000086382,,IL1B,1
chromatin binding,GO:0003682,COVID-19,MESH:D000086382,,ABO,1
DNA binding,GO:0003677,COVID-19,MESH:D000086382,,PLSCR1,1
molecular_function,GO:0003674,COVID-19,MESH:D000086382,,TMEM106B,1
positive regulation of lipid metabolic process,GO:0045834,COVID-19,MESH:D000086382,,TNF,1
negative regulation of membrane potential,GO:0045837,COVID-19,MESH:D000086382,,IL6,4
sodium channel regulator activity,GO:0017080,COVID-19,MESH:D000086382,,AGT,1
regulation of reactive oxygen species metabolic process,GO:2000377,COVID-19,MESH:D000086382,,TNF,1
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,GO:2000373,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of prostaglandin biosynthetic process,GO:0031394,COVID-19,MESH:D000086382,,IL1B,1
negative regulation of endothelial cell apoptotic process,GO:2000352,COVID-19,MESH:D000086382,,IL10,2
regulation of endothelial cell apoptotic process,GO:2000351,COVID-19,MESH:D000086382,,TNF,1
positive regulation of hepatocyte proliferation,GO:2000347,COVID-19,MESH:D000086382,,TNF,1
positive regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000343,COVID-19,MESH:D000086382,,TNF,1
negative regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000342,COVID-19,MESH:D000086382,,OAS1,1
positive regulation of blood microparticle formation,GO:2000334,COVID-19,MESH:D000086382,,TNF,1
negative regulation of T-helper 17 cell differentiation,GO:2000320,COVID-19,MESH:D000086382,,IL2,1
"blood coagulation, intrinsic pathway",GO:0007597,COVID-19,MESH:D000086382,,F8,1
positive regulation of NAD(P)H oxidase activity,GO:0033864,COVID-19,MESH:D000086382,,AGT,1
negative regulation of smoothened signaling pathway,GO:0045879,COVID-19,MESH:D000086382,,LZTFL1,2
negative regulation of DNA-templated transcription,GO:0045892,COVID-19,MESH:D000086382,,TNF,1
positive regulation of signaling receptor activity,GO:2000273,COVID-19,MESH:D000086382,,IL10,2
granulocyte colony-stimulating factor receptor binding,GO:0005130,COVID-19,MESH:D000086382,,CSF3,1
visual perception,GO:0007601,COVID-19,MESH:D000086382,,MUC1,1
courtship behavior,GO:0007619,COVID-19,MESH:D000086382,,BTK,1
cholesterol binding,GO:0015485,COVID-19,MESH:D000086382,,CRP,1
circadian rhythm,GO:0007623,COVID-19,MESH:D000086382,,TNF,1
